,path,label,bytes
0,./dataset/obj82__35.png,obj82,[49 46 29 ... 29 29 29]
1,./dataset/obj89__90.png,obj89,[49 46 25 ... 25 25 25]
2,./dataset/obj8__240.png,obj8,[49 46 25 ... 25 25 25]
3,./dataset/obj66__20.png,obj66,[49 46 25 ... 25 25 25]
4,./dataset/obj17__220.png,obj17,[49 46 26 ... 26 26 26]
5,./dataset/obj30__170.png,obj30,[49 46 25 ... 25 25 25]
6,./dataset/obj44__320.png,obj44,[49 46 27 ... 27 27 27]
7,./dataset/obj28__355.png,obj28,[49 46 37 ... 37 37 37]
8,./dataset/obj99__90.png,obj99,[49 46 36 ... 36 36 36]
9,./dataset/obj92__35.png,obj92,[49 46 25 ... 25 25 25]
10,./dataset/obj29__355.png,obj29,[49 46 25 ... 25 25 25]
11,./dataset/obj16__220.png,obj16,[49 46 25 ... 25 25 25]
12,./dataset/obj45__320.png,obj45,[49 46 26 ... 26 26 26]
13,./dataset/obj31__170.png,obj31,[49 46 25 ... 25 25 25]
14,./dataset/obj9__240.png,obj9,[49 46 26 ... 26 26 26]
15,./dataset/obj76__20.png,obj76,[49 46 25 ... 25 25 25]
16,./dataset/obj17__40.png,obj17,[49 46 25 ... 25 25 25]
17,./dataset/obj33__5.png,obj33,[49 46 25 ... 25 25 25]
18,./dataset/obj1__85.png,obj1,[49 46 25 ... 25 25 25]
19,./dataset/obj20__265.png,obj20,[49 46 25 ... 25 25 25]
20,./dataset/obj21__265.png,obj21,[49 46 30 ... 30 30 30]
21,./dataset/obj94__70.png,obj94,[49 46 25 ... 25 25 25]
22,./dataset/obj53__285.png,obj53,[49 46 26 ... 26 26 26]
23,./dataset/obj59__325.png,obj59,[49 46 25 ... 25 25 25]
24,./dataset/obj93__150.png,obj93,[49 46 25 ... 25 25 25]
25,./dataset/obj21__95.png,obj21,[49 46 28 ... 28 28 28]
26,./dataset/obj41__100.png,obj41,[49 46 29 ... 29 29 29]
27,./dataset/obj35__350.png,obj35,[49 46 25 ... 25 25 25]
28,./dataset/obj66__250.png,obj66,[49 46 26 ... 26 26 26]
29,./dataset/obj70__65.png,obj70,[49 46 25 ... 25 25 25]
30,./dataset/obj52__285.png,obj52,[49 46 25 ... 25 25 25]
31,./dataset/obj31__95.png,obj31,[49 46 25 ... 25 25 25]
32,./dataset/obj34__350.png,obj34,[49 46 25 ... 25 25 25]
33,./dataset/obj40__100.png,obj40,[49 46 26 ... 26 26 26]
34,./dataset/obj67__250.png,obj67,[49 46 26 ... 26 26 26]
35,./dataset/obj58__325.png,obj58,[49 46 25 ... 25 25 25]
36,./dataset/obj92__150.png,obj92,[49 46 25 ... 25 25 25]
37,./dataset/obj84__70.png,obj84,[49 46 25 ... 25 25 25]
38,./dataset/obj40__0.png,obj40,[49 46 25 ... 25 25 25]
39,./dataset/obj60__65.png,obj60,[49 46 26 ... 26 26 26]
40,./dataset/obj43__190.png,obj43,[49 46 30 ... 30 30 30]
41,./dataset/obj83__245.png,obj83,[49 46 28 ... 28 28 28]
42,./dataset/obj51__215.png,obj51,[49 46 29 ... 29 29 29]
43,./dataset/obj76__145.png,obj76,[49 46 25 ... 25 25 25]
44,./dataset/obj5__150.png,obj5,[49 46 26 ... 26 26 26]
